Driver,LapNumber,LapTime,Compound,TyreLife,Position,Time,PitInTime,PittedThisLap,LapSeconds,PersonalDelta,CumSeconds,Interval
ALB,1.0,0 days 00:01:34.507000,MEDIUM,1.0,18.0,0 days 00:55:15.846000,,False,94.507,,3315.846,0.3380000000001928
ALB,2.0,0 days 00:01:25.305000,MEDIUM,2.0,18.0,0 days 00:56:41.151000,,False,85.305,-9.201999999999998,3401.151,0.6209999999996398
ALB,3.0,0 days 00:01:25.324000,MEDIUM,3.0,18.0,0 days 00:58:06.475000,,False,85.324,0.018999999999991246,3486.475,0.8669999999997344
ALB,4.0,0 days 00:01:25.320000,MEDIUM,4.0,18.0,0 days 00:59:31.795000,,False,85.32,-0.0040000000000048885,3571.795,1.0740000000000691
ALB,5.0,0 days 00:01:25.707000,MEDIUM,5.0,18.0,0 days 01:00:57.502000,,False,85.707,0.38700000000000045,3657.502,1.3389999999999418
ALB,6.0,0 days 00:01:25.680000,MEDIUM,6.0,18.0,0 days 01:02:23.182000,,False,85.68,-0.026999999999986812,3743.182,1.4710000000000036
ALB,7.0,0 days 00:01:26.108000,MEDIUM,7.0,18.0,0 days 01:03:49.290000,,False,86.108,0.42799999999999727,3829.29,1.3550000000000182
ALB,8.0,0 days 00:01:26.438000,MEDIUM,8.0,18.0,0 days 01:05:15.728000,,False,86.438,0.3299999999999983,3915.728,1.4459999999999127
ALB,9.0,0 days 00:01:26.588000,MEDIUM,9.0,18.0,0 days 01:06:42.316000,,False,86.588,0.14999999999999147,4002.316,1.7329999999997199
ALB,10.0,0 days 00:01:26.564000,MEDIUM,10.0,18.0,0 days 01:08:08.880000,,False,86.564,-0.02400000000000091,4088.88,1.8710000000000946
ALB,11.0,0 days 00:01:26.477000,MEDIUM,11.0,18.0,0 days 01:09:35.357000,,False,86.477,-0.08699999999998909,4175.357,1.7479999999995925
ALB,12.0,0 days 00:01:26.569000,MEDIUM,12.0,17.0,0 days 01:11:01.926000,,False,86.569,0.09199999999999875,4261.926,1.5250000000005457
ALB,13.0,0 days 00:01:30.373000,MEDIUM,13.0,16.0,0 days 01:12:32.299000,0 days 01:12:29.631000,True,90.373,3.804000000000002,4352.299,2.8840000000000146
ALB,14.0,0 days 00:01:46.180000,HARD,1.0,20.0,0 days 01:14:18.479000,,False,106.18,15.807000000000002,4458.479,2.850000000000364
ALB,15.0,0 days 00:01:24.482000,HARD,2.0,19.0,0 days 01:15:42.961000,,False,84.482,-21.698000000000008,4542.961,4.905999999999949
ALB,16.0,0 days 00:01:24.973000,HARD,3.0,18.0,0 days 01:17:07.934000,,False,84.973,0.49099999999999966,4627.934,4.230999999999767
ALB,17.0,0 days 00:01:25.538000,HARD,4.0,19.0,0 days 01:18:33.472000,,False,85.538,0.5649999999999977,4713.472,1.6489999999994325
ALB,18.0,0 days 00:01:24.969000,HARD,5.0,19.0,0 days 01:19:58.441000,,False,84.969,-0.5690000000000026,4798.441,0.4489999999996144
