Driver,LapNumber,LapTime,Compound,TyreLife,Position,Time,PitInTime,PittedThisLap,LapSeconds,PersonalDelta,CumSeconds,Interval
ALB,1.0,0 days 00:01:39.163000,SOFT,1.0,19.0,0 days 01:04:11.707000,,False,99.163,,3851.707,0.431999999999789
ALB,2.0,0 days 00:01:25.514000,SOFT,2.0,14.0,0 days 01:05:37.221000,,False,85.514,-13.649000000000001,3937.221,0.7220000000002074
ALB,3.0,0 days 00:01:22.804000,SOFT,3.0,13.0,0 days 01:07:00.025000,,False,82.804,-2.7099999999999937,4020.025,3.338000000000193
ALB,4.0,0 days 00:01:20.367000,SOFT,4.0,13.0,0 days 01:08:20.392000,,False,80.367,-2.4369999999999976,4100.392,2.0799999999999272
ALB,5.0,0 days 00:01:19.059000,SOFT,5.0,13.0,0 days 01:09:39.451000,,False,79.059,-1.308000000000007,4179.451,0.43099999999958527
ALB,6.0,0 days 00:01:19.533000,SOFT,6.0,12.0,0 days 01:10:58.984000,,False,79.533,0.47400000000000375,4258.984,2.0670000000000073
ALB,7.0,0 days 00:01:18.638000,SOFT,7.0,12.0,0 days 01:12:17.622000,,False,78.638,-0.894999999999996,4337.622,0.7539999999999054
ALB,8.0,0 days 00:01:19.217000,SOFT,8.0,12.0,0 days 01:13:36.839000,,False,79.217,0.5789999999999935,4416.839,1.0429999999996653
ALB,9.0,0 days 00:01:17.641000,SOFT,9.0,12.0,0 days 01:14:54.480000,,False,77.641,-1.5759999999999934,4494.48,1.5779999999995198
ALB,10.0,0 days 00:01:17.496000,SOFT,10.0,12.0,0 days 01:16:11.976000,,False,77.496,-0.14500000000001023,4571.976,1.8479999999999563
ALB,11.0,0 days 00:01:17.221000,SOFT,11.0,12.0,0 days 01:17:29.197000,,False,77.221,-0.2749999999999915,4649.197,0.49499999999989086
ALB,12.0,,SOFT,12.0,,0 days 01:19:59.197000,,False,,,4799.197,-5.469000000000051
ALO,1.0,0 days 00:01:36.126000,SOFT,1.0,14.0,0 days 01:04:08.670000,,False,96.126,,3848.67,0.5770000000002256
ALO,2.0,0 days 00:01:23.708000,SOFT,2.0,10.0,0 days 01:05:32.378000,,False,83.708,-12.418000000000006,3932.378,0.6829999999999927
ALO,3.0,0 days 00:01:21.584000,SOFT,3.0,10.0,0 days 01:06:53.962000,,False,81.584,-2.1239999999999952,4013.962,0.5189999999997781
ALO,4.0,0 days 00:01:21.632000,SOFT,4.0,10.0,0 days 01:08:15.594000,,False,81.632,0.04800000000000182,4095.594,0.5700000000001637
ALO,5.0,0 days 00:01:20.381000,SOFT,5.0,10.0,0 days 01:09:35.975000,,False,80.381,-1.2510000000000048,4175.975,0.88799999999992
ALO,6.0,0 days 00:01:20.942000,SOFT,6.0,11.0,0 days 01:10:56.917000,,False,80.942,0.5609999999999928,4256.917,0.4860000000007858
ALO,7.0,0 days 00:01:19.951000,SOFT,7.0,11.0,0 days 01:12:16.868000,,False,79.951,-0.9909999999999997,4336.868,1.4239999999999782
ALO,8.0,0 days 00:01:20.619000,SOFT,8.0,13.0,0 days 01:13:37.487000,,False,80.619,0.6680000000000064,4417.487,0.6480000000001382
ALO,9.0,0 days 00:01:19.708000,SOFT,9.0,14.0,0 days 01:14:57.195000,,False,79.708,-0.9110000000000014,4497.195,1.6549999999997453
ALO,10.0,0 days 00:01:19.635000,SOFT,10.0,14.0,0 days 01:16:16.830000,,False,79.635,-0.07299999999999329,4576.83,3.45299999999952
ALO,11.0,0 days 00:01:19.737000,SOFT,11.0,14.0,0 days 01:17:36.567000,,False,79.737,0.10199999999998965,4656.567,6.201000000000022
ALO,12.0,0 days 00:01:20.134000,SOFT,12.0,12.0,0 days 01:18:56.701000,,False,80.134,0.39700000000000557,4736.701,7.697000000000116
ALO,13.0,0 days 00:01:20.602000,SOFT,13.0,12.0,0 days 01:20:17.303000,,False,80.602,0.4680000000000035,4817.303,9.774999999999636
ALO,14.0,0 days 00:01:19.699000,SOFT,14.0,12.0,0 days 01:21:37.002000,,False,79.699,-0.9030000000000058,4897.002,11.269000000000233
ALO,15.0,0 days 00:01:20.224000,SOFT,15.0,12.0,0 days 01:22:57.226000,,False,80.224,0.5250000000000057,4977.226,0.5670000000000073
ALO,16.0,0 days 00:01:20.409000,SOFT,16.0,12.0,0 days 01:24:17.635000,,False,80.409,0.18500000000000227,5057.635,3.431999999999789
ALO,17.0,0 days 00:01:20.790000,SOFT,17.0,13.0,0 days 01:25:38.425000,,False,80.79,0.3810000000000002,5138.425,0.7020000000002256
ALO,18.0,0 days 00:01:20.341000,SOFT,18.0,14.0,0 days 01:26:58.766000,,False,80.341,-0.4490000000000123,5218.766,2.081999999999425
ALO,19.0,0 days 00:01:21.994000,SOFT,19.0,14.0,0 days 01:28:20.760000,,False,81.994,1.6530000000000058,5300.76,7.199000000000524
ALO,20.0,0 days 00:01:37.254000,SOFT,20.0,15.0,0 days 01:29:58.014000,0 days 01:29:34.909000,True,97.254,15.260000000000005,5398.014,5.231999999999971
ALO,21.0,0 days 00:01:24.220000,SOFT,1.0,17.0,0 days 01:31:22.234000,,False,84.22,-13.034000000000006,5482.234,1.1950000000006185
ALO,22.0,0 days 00:01:20.426000,SOFT,2.0,17.0,0 days 01:32:42.660000,,False,80.426,-3.793999999999997,5562.66,3.411000000000058
ALO,23.0,0 days 00:01:20.864000,SOFT,3.0,17.0,0 days 01:34:03.524000,,False,80.864,0.4380000000000024,5643.524,6.564000000000306
ALO,24.0,,SOFT,4.0,17.0,0 days 01:35:18.616000,0 days 01:35:18.696000,True,,,5718.616,4.1729999999997744
ANT,1.0,0 days 00:01:27.340000,SOFT,5.0,2.0,0 days 01:03:59.884000,,False,87.34,,3839.884,1.1590000000001055
ANT,2.0,0 days 00:01:21.447000,SOFT,6.0,1.0,0 days 01:05:21.331000,,False,81.447,-5.893000000000001,3921.331,0.0
ANT,3.0,0 days 00:01:18.974000,SOFT,7.0,1.0,0 days 01:06:40.305000,,False,78.974,-2.472999999999999,4000.305,0.0
ANT,4.0,0 days 00:01:17.974000,SOFT,8.0,1.0,0 days 01:07:58.279000,,False,77.974,-1.0,4078.279,0.0
ANT,5.0,0 days 00:01:17.058000,SOFT,9.0,1.0,0 days 01:09:15.337000,,False,77.058,-0.9159999999999968,4155.337,0.0
ANT,6.0,0 days 00:01:17.710000,SOFT,10.0,2.0,0 days 01:10:33.047000,,False,77.71,0.6519999999999868,4233.047,0.8489999999992506
ANT,7.0,0 days 00:01:16.873000,SOFT,11.0,2.0,0 days 01:11:49.920000,,False,76.873,-0.8369999999999891,4309.92,1.13799999999992
ANT,8.0,0 days 00:01:16.047000,SOFT,12.0,2.0,0 days 01:13:05.967000,,False,76.047,-0.8260000000000076,4385.967,1.0799999999999272
ANT,9.0,0 days 00:01:15.848000,SOFT,13.0,2.0,0 days 01:14:21.815000,,False,75.848,-0.19899999999999807,4461.815,1.131999999999607
ANT,10.0,0 days 00:01:15.740000,SOFT,14.0,2.0,0 days 01:15:37.555000,,False,75.74,-0.10800000000000409,4537.555,1.094000000000051
ANT,11.0,0 days 00:01:15.630000,SOFT,15.0,2.0,0 days 01:16:53.185000,,False,75.63,-0.10999999999999943,4613.185,1.1520000000000437
ANT,12.0,0 days 00:01:15.916000,SOFT,16.0,2.0,0 days 01:18:09.101000,,False,75.916,0.28600000000000136,4689.101,0.2639999999992142
ANT,13.0,0 days 00:01:17.833000,SOFT,17.0,2.0,0 days 01:19:26.934000,,False,77.833,1.9170000000000016,4766.934,0.7560000000003129
ANT,14.0,0 days 00:01:16.126000,SOFT,18.0,2.0,0 days 01:20:43.060000,,False,76.126,-1.7069999999999936,4843.06,0.6900000000005093
ANT,15.0,0 days 00:01:15.635000,SOFT,19.0,2.0,0 days 01:21:58.695000,,False,75.635,-0.49099999999999966,4918.695,0.5339999999996508
ANT,16.0,0 days 00:01:15.411000,SOFT,20.0,2.0,0 days 01:23:14.106000,,False,75.411,-0.22400000000000375,4994.106,0.4679999999998472
ANT,17.0,0 days 00:01:16.531000,SOFT,21.0,2.0,0 days 01:24:30.637000,,False,76.531,1.1200000000000045,5070.637,0.4539999999997235
ANT,18.0,0 days 00:01:15.715000,SOFT,22.0,2.0,0 days 01:25:46.352000,,False,75.715,-0.8160000000000025,5146.352,0.43400000000019645
ANT,19.0,0 days 00:01:15.587000,SOFT,23.0,2.0,0 days 01:27:01.939000,,False,75.587,-0.1280000000000001,5221.939,0.44500000000061846
ANT,20.0,0 days 00:01:15.559000,SOFT,24.0,2.0,0 days 01:28:17.498000,,False,75.559,-0.028000000000005798,5297.498,0.46599999999943975
ANT,21.0,0 days 00:01:15.439000,SOFT,25.0,2.0,0 days 01:29:32.937000,,False,75.439,-0.12000000000000455,5372.937,0.1459999999997308
ANT,22.0,0 days 00:01:16.182000,SOFT,26.0,1.0,0 days 01:30:49.119000,,False,76.182,0.7430000000000092,5449.119,0.0
ANT,23.0,0 days 00:01:15.413000,SOFT,27.0,1.0,0 days 01:32:04.532000,,False,75.413,-0.7690000000000055,5524.532,0.0
ANT,24.0,0 days 00:01:16.465000,SOFT,28.0,1.0,0 days 01:33:20.997000,,False,76.465,1.0520000000000067,5600.997,0.0
ANT,25.0,0 days 00:01:18.543000,SOFT,29.0,2.0,0 days 01:34:39.540000,,False,78.543,2.078000000000003,5679.54,0.34900000000016007
ANT,26.0,0 days 00:01:16.480000,SOFT,30.0,2.0,0 days 01:35:56.020000,,False,76.48,-2.0630000000000024,5756.02,0.5080000000007203
ANT,27.0,0 days 00:01:15.971000,SOFT,31.0,2.0,0 days 01:37:11.991000,,False,75.971,-0.5090000000000003,5831.991,0.20600000000013097
ANT,28.0,0 days 00:01:16.427000,SOFT,32.0,2.0,0 days 01:38:28.418000,,False,76.427,0.45600000000000307,5908.418,0.3609999999998763
ANT,29.0,0 days 00:01:15.752000,SOFT,33.0,2.0,0 days 01:39:44.170000,,False,75.752,-0.6750000000000114,5984.17,0.5720000000001164
ANT,30.0,0 days 00:01:16.361000,SOFT,34.0,1.0,0 days 01:41:00.531000,,False,76.361,0.6090000000000089,6060.531,0.0
ANT,31.0,0 days 00:01:59.239000,SOFT,35.0,1.0,0 days 01:42:59.770000,0 days 01:42:36.253000,True,119.239,42.878,6179.77,0.0
ANT,32.0,0 days 00:01:41.101000,MEDIUM,1.0,1.0,0 days 01:44:40.871000,,False,101.101,-18.138000000000005,6280.871,0.0
ANT,33.0,0 days 00:01:19.265000,MEDIUM,2.0,1.0,0 days 01:46:00.136000,,False,79.265,-21.836,6360.136,0.0
ANT,34.0,0 days 00:01:16.290000,MEDIUM,3.0,1.0,0 days 01:47:16.426000,,False,76.29,-2.9749999999999943,6436.426,0.0
ANT,35.0,0 days 00:01:16.101000,MEDIUM,4.0,1.0,0 days 01:48:32.527000,,False,76.101,-0.18900000000000716,6512.527,0.0
ANT,36.0,0 days 00:01:15.708000,MEDIUM,5.0,1.0,0 days 01:49:48.235000,,False,75.708,-0.3930000000000007,6588.235,0.0
ANT,37.0,0 days 00:01:15.466000,MEDIUM,6.0,1.0,0 days 01:51:03.701000,,False,75.466,-0.24200000000000443,6663.701,0.0
ANT,38.0,0 days 00:01:15.235000,MEDIUM,7.0,1.0,0 days 01:52:18.936000,,False,75.235,-0.23099999999999454,6738.936,0.0
ANT,39.0,0 days 00:01:15.290000,MEDIUM,8.0,1.0,0 days 01:53:34.226000,,False,75.29,0.05500000000000682,6814.226,0.0
ANT,40.0,0 days 00:01:15.871000,MEDIUM,9.0,1.0,0 days 01:54:50.097000,,False,75.871,0.5809999999999889,6890.097,0.0
ANT,41.0,0 days 00:01:17.905000,MEDIUM,10.0,1.0,0 days 01:56:08.002000,,False,77.905,2.034000000000006,6968.002,0.0
ANT,42.0,0 days 00:01:15.244000,MEDIUM,11.0,1.0,0 days 01:57:23.246000,,False,75.244,-2.6610000000000014,7043.246,0.0
ANT,43.0,0 days 00:01:14.814000,MEDIUM,12.0,1.0,0 days 01:58:38.060000,,False,74.814,-0.4300000000000068,7118.06,0.0
ANT,44.0,0 days 00:01:15.179000,MEDIUM,13.0,1.0,0 days 01:59:53.239000,,False,75.179,0.3650000000000091,7193.239,0.0
ANT,45.0,0 days 00:01:15.276000,MEDIUM,14.0,1.0,0 days 02:01:08.515000,,False,75.276,0.0969999999999942,7268.515,0.0
ANT,46.0,0 days 00:01:33.385000,MEDIUM,15.0,1.0,0 days 02:02:41.900000,,False,93.385,18.10900000000001,7361.9,0.0
ANT,47.0,0 days 00:01:15.877000,MEDIUM,16.0,1.0,0 days 02:03:57.777000,,False,75.877,-17.50800000000001,7437.777,0.0
ANT,48.0,0 days 00:01:15.019000,MEDIUM,17.0,1.0,0 days 02:05:12.796000,,False,75.019,-0.8579999999999899,7512.796,0.0
ANT,49.0,0 days 00:01:14.935000,MEDIUM,18.0,1.0,0 days 02:06:27.731000,,False,74.935,-0.08400000000000318,7587.731,0.0
ANT,50.0,0 days 00:01:14.770000,MEDIUM,19.0,1.0,0 days 02:07:42.501000,,False,74.77,-0.16500000000000625,7662.501,0.0
ANT,51.0,0 days 00:01:14.604000,MEDIUM,20.0,1.0,0 days 02:08:57.105000,,False,74.604,-0.16599999999999682,7737.105,0.0
ANT,52.0,0 days 00:01:14.366000,MEDIUM,21.0,1.0,0 days 02:10:11.471000,,False,74.366,-0.23799999999999955,7811.471,0.0
ANT,53.0,0 days 00:01:46.356000,MEDIUM,22.0,1.0,0 days 02:11:57.827000,,False,106.356,31.989999999999995,7917.827,0.0
ANT,54.0,0 days 00:01:23.636000,MEDIUM,23.0,1.0,0 days 02:13:21.463000,,False,83.636,-22.72,8001.463,0.0
ANT,55.0,0 days 00:01:15.387000,MEDIUM,24.0,1.0,0 days 02:14:36.850000,,False,75.387,-8.248999999999995,8076.85,0.0
ANT,56.0,0 days 00:01:15.009000,MEDIUM,25.0,1.0,0 days 02:15:51.859000,,False,75.009,-0.3780000000000001,8151.859,0.0
ANT,57.0,0 days 00:01:14.909000,MEDIUM,26.0,1.0,0 days 02:17:06.768000,,False,74.909,-0.09999999999999432,8226.768,0.0
ANT,58.0,0 days 00:01:14.701000,MEDIUM,27.0,1.0,0 days 02:18:21.469000,,False,74.701,-0.20800000000001262,8301.469,0.0
ANT,59.0,0 days 00:01:14.790000,MEDIUM,28.0,1.0,0 days 02:19:36.259000,,False,74.79,0.08900000000001285,8376.259,0.0
ANT,60.0,0 days 00:01:14.445000,MEDIUM,29.0,1.0,0 days 02:20:50.704000,,False,74.445,-0.3450000000000131,8450.704,0.0
ANT,61.0,0 days 00:01:14.340000,MEDIUM,30.0,1.0,0 days 02:22:05.044000,,False,74.34,-0.10499999999998977,8525.044,0.0
ANT,62.0,0 days 00:01:15.413000,MEDIUM,31.0,1.0,0 days 02:23:20.457000,,False,75.413,1.0729999999999933,8600.457,0.0
ANT,63.0,0 days 00:01:14.726000,MEDIUM,32.0,1.0,0 days 02:24:35.183000,,False,74.726,-0.6869999999999976,8675.183,0.0
ANT,64.0,0 days 00:01:15.119000,MEDIUM,33.0,1.0,0 days 02:25:50.302000,,False,75.119,0.3930000000000007,8750.302,0.0
ANT,65.0,0 days 00:01:14.769000,MEDIUM,34.0,1.0,0 days 02:27:05.071000,,False,74.769,-0.3499999999999943,8825.071,0.0
ANT,66.0,0 days 00:01:14.412000,MEDIUM,35.0,1.0,0 days 02:28:19.483000,,False,74.412,-0.3569999999999993,8899.483,0.0
ANT,67.0,0 days 00:01:14.609000,MEDIUM,36.0,1.0,0 days 02:29:34.092000,,False,74.609,0.19699999999998852,8974.092,0.0
ANT,68.0,0 days 00:01:14.210000,MEDIUM,37.0,1.0,0 days 02:30:48.302000,,False,74.21,-0.3990000000000009,9048.302,0.0
BEA,1.0,0 days 00:01:35.294000,SOFT,6.0,11.0,0 days 01:04:07.838000,,False,95.294,,3847.838,1.43100000000004
BEA,2.0,0 days 00:01:23.857000,SOFT,7.0,9.0,0 days 01:05:31.695000,,False,83.857,-11.436999999999998,3931.695,3.2470000000002983
BEA,3.0,0 days 00:01:21.748000,SOFT,8.0,9.0,0 days 01:06:53.443000,,False,81.748,-2.1089999999999947,4013.443,3.675000000000182
BEA,4.0,0 days 00:01:21.581000,SOFT,9.0,9.0,0 days 01:08:15.024000,,False,81.581,-0.1670000000000016,4095.024,5.130999999999858
BEA,5.0,0 days 00:01:20.063000,SOFT,10.0,9.0,0 days 01:09:35.087000,,False,80.063,-1.5180000000000007,4175.087,5.696000000000822
BEA,6.0,0 days 00:01:19.321000,SOFT,11.0,9.0,0 days 01:10:54.408000,,False,79.321,-0.7420000000000044,4254.408,6.1469999999999345
