Driver,LapNumber,LapTime,Compound,TyreLife,Position,Time,PitInTime,PittedThisLap,TrackStatus,LapSeconds,PersonalDelta,CumSeconds,Interval
ALB,1.0,0 days 00:01:32.115000,MEDIUM,1.0,10.0,0 days 00:56:51.981000,,False,12,92.115,,3411.981,0.7970000000000255
ALB,2.0,0 days 00:01:21.060000,MEDIUM,2.0,10.0,0 days 00:58:13.041000,,False,1,81.06,-11.054999999999993,3493.041,1.1880000000001019
ALB,3.0,0 days 00:01:20.341000,MEDIUM,3.0,10.0,0 days 00:59:33.382000,,False,1,80.341,-0.7190000000000083,3573.382,1.1350000000002183
ALB,4.0,0 days 00:01:19.888000,MEDIUM,4.0,10.0,0 days 01:00:53.270000,,False,1,79.888,-0.45299999999998875,3653.27,1.3400000000001455
ALB,5.0,0 days 00:01:19.662000,MEDIUM,5.0,10.0,0 days 01:02:12.932000,,False,1,79.662,-0.2259999999999991,3732.932,1.694999999999709
ALB,6.0,0 days 00:01:19.374000,MEDIUM,6.0,10.0,0 days 01:03:32.306000,,False,1,79.374,-0.2880000000000109,3812.306,1.5230000000001382
ALB,7.0,0 days 00:01:18.947000,MEDIUM,7.0,10.0,0 days 01:04:51.253000,,False,1,78.947,-0.4269999999999925,3891.253,1.417000000000371
ALB,8.0,0 days 00:01:18.742000,MEDIUM,8.0,10.0,0 days 01:06:09.995000,,False,1,78.742,-0.2049999999999983,3969.995,1.2979999999997744
ALB,9.0,0 days 00:01:18.647000,MEDIUM,9.0,10.0,0 days 01:07:28.642000,,False,1,78.647,-0.09499999999999886,4048.642,1.4639999999999418
ALB,10.0,0 days 00:01:18.487000,MEDIUM,10.0,10.0,0 days 01:08:47.129000,,False,1,78.487,-0.1600000000000108,4127.129,1.4769999999998618
ALB,11.0,0 days 00:01:18.578000,MEDIUM,11.0,10.0,0 days 01:10:05.707000,,False,1,78.578,0.09100000000000819,4205.707,1.5120000000006257
ALB,12.0,0 days 00:01:18.364000,MEDIUM,12.0,10.0,0 days 01:11:24.071000,,False,1,78.364,-0.21399999999999864,4284.071,1.393000000000029
ALB,13.0,0 days 00:01:18.834000,MEDIUM,13.0,10.0,0 days 01:12:42.905000,,False,1,78.834,0.46999999999999886,4362.905,1.7119999999995343
